listing_id,City,n_chars,n_reviews_concatenated
1007244916663826165,Los Angeles,37418,93
1007286676777418812,Nashville,3413,24
1007291230753572527,Los Angeles,10832,62
1007350429833235510,Los Angeles,1657,14
1007368141055956028,Los Angeles,352,3
1007385215063970581,Los Angeles,7999,30
10073940,New York,51909,210
1007415724783588121,Los Angeles,2197,6
1007421778971968598,New York,103,2
1007442859572150357,New York,77,1
1007455444540697205,Los Angeles,691,3
1007508715817026286,Hawaii,17503,51
1007515846521179215,Hawaii,14634,45
1007535510403964874,Los Angeles,2259,7
1007538371381100994,Hawaii,30312,89
10075597,Hawaii,50412,173
1007562063291242089,Hawaii,105,1
1007658937165681766,Los Angeles,3893,11
1007861369846617969,San Francisco,713,1
1007909330370824112,Nashville,10128,46
1007910243542639327,Los Angeles,8066,33
1008012154671520336,Los Angeles,14385,72
1008053134501995451,Los Angeles,1323,3
1008063874389073925,Los Angeles,1166,5
1008073352246997879,New York,26526,95
1008076227003529634,Los Angeles,48,1
1008135861008837032,Hawaii,6159,15
1008175071771370270,Hawaii,11760,50
1008205105308599379,Los Angeles,7665,45
10082057,New York,2148,8
1008224580345820061,New York,817,2
1008246140374586613,New York,12728,49
1008280006627778254,Hawaii,970,3
1008284601250392078,San Francisco,22215,73
1008292988885907913,Los Angeles,16452,65
1008301599260572123,New York,14981,64
1008315491855065333,New York,8298,53
1008316122987976155,San Francisco,15061,64
1008385040197853433,Los Angeles,3573,20
10085478,New York,12391,47
10086307,New York,63736,218
1008684865225089784,New York,27696,132
1008688651557147708,Nashville,15172,74
1008700596283948294,Hawaii,645,2
1008724166563176685,Los Angeles,4042,16
1008734811988054076,Los Angeles,1723,3
1008749783457867451,Los Angeles,33,1
1008776608641894064,Los Angeles,1070,11
1008781781839490021,New York,1095,5
1008785772699560452,New York,397,2
1008786100568140512,Los Angeles,1724,4
1008787472768541467,New York,230,1
1008788341107531692,Los Angeles,1075,14
1008806167508488689,Los Angeles,162,1
1008814,Los Angeles,18597,47
1008844555294714868,Hawaii,9334,22
1008852250416691744,Los Angeles,21982,59
1008867594660467517,Hawaii,993,1
1008868868054501650,Los Angeles,160,1
1008944130463510963,Hawaii,422,1
1008948782767285133,Los Angeles,1415,4
1008957074079095931,New York,10949,40
1008960762838753659,Los Angeles,45364,217
10089727,New York,2706,19
1009063394456226194,San Francisco,267,1
10091239,Hawaii,73087,280
10091589,Hawaii,124398,315
1009234762958456511,New York,217,2
1009331617929871642,Hawaii,920,1
1009349350013095363,Hawaii,2408,11
1009368559410196286,Hawaii,1309,4
1009375063037584793,Los Angeles,4785,20
1009379035287831685,Hawaii,67,1
10093902,Los Angeles,11488,105
1009407387134036055,Hawaii,19656,60
1009418461923209807,Los Angeles,696,2
1009468639780383965,Los Angeles,2998,20
1009505462121082028,Los Angeles,25916,123
1009519877891300277,Los Angeles,2382,7
1009522287636999019,Hawaii,85,1
1009523193511211194,Hawaii,182,1
1009542110611743262,New York,23465,88
1009542334900014716,Hawaii,13531,46
1009547763059532514,Los Angeles,453,1
1009550,Nashville,105563,287
1009554750637524142,Hawaii,2150,7
1009582579130446418,Los Angeles,1247,6
1009583589043502210,Nashville,29931,122
1009592864410933065,New York,270,2
1009593983372479000,Los Angeles,3463,8
1009618074993756655,Los Angeles,8114,28
1009618192920807920,Los Angeles,16181,83
1009621175691841712,New York,1836,6
1009682973213728642,Nashville,5779,26
1009699512413915648,New York,2416,4
1009711786804562856,New York,12210,40
1009730637215887288,Hawaii,1199,5
1009736300408304290,Hawaii,2070,9
1009755519511444712,Los Angeles,11055,77
10097957,New York,2615,10
1009920147263075999,New York,999,1
10099733,San Francisco,40033,150
1010058472874068495,Hawaii,1350,2
10101097,New York,45514,144
1010150785088915313,Los Angeles,2914,12
1010164115494214214,New York,310,1
1010175807110179355,Hawaii,16031,48
1010177823583231516,Hawaii,7095,31
1010177863079081588,Hawaii,1485,4
1010185751259703839,Hawaii,615,4
1010187836953507384,Hawaii,3839,13
1010215062154388163,New York,6255,31
1010216602743789173,Los Angeles,2226,6
1010220609515470552,Los Angeles,3228,6
1010237549953170592,New York,11719,39
1010245996413056081,Los Angeles,6149,35
1010257546125290320,Hawaii,22701,75
1010259305552603703,Hawaii,868,5
1010266403677789959,Hawaii,990,4
1010267451380748862,Los Angeles,14103,68
1010279287170639082,New York,19621,77
1010297315861879467,Hawaii,5641,25
1010307186083475982,Hawaii,8527,30
1010311280014272839,Los Angeles,253,1
1010321289250840149,Hawaii,35473,106
1010335669016991792,Hawaii,1895,9
1010351307230423377,Hawaii,3845,16
10103881,San Francisco,5680,20
1010398417049773773,New York,4948,12
1010483842606906007,Hawaii,3748,13
1010503905929192028,New York,134666,659
1010505084856136834,San Francisco,1077,2
1010506660481848107,Los Angeles,23469,99
10105531,San Francisco,27174,90
1010631999598223279,New York,8340,47
1010673362514237824,New York,15893,62
1010698510084140429,New York,1058,2
1010699595236271445,New York,474,1
1010700231925464377,New York,1278,2
1010701383139974348,New York,325,2
1010701992956234230,New York,42,1
1010719510624369987,Nashville,1123,7
1010720455556846427,Hawaii,1448,5
1010720661942382329,New York,7640,26
1010722076697864938,New York,727,2
1010743083131869327,Hawaii,3196,12
1010768775628092224,New York,16644,60
1010785,New York,25311,77
1010826458206155334,New York,977,1
1010874063701112844,New York,59312,212
1010880964393731871,Hawaii,12623,34
1010928370894122287,Nashville,23126,85
1010931629810246441,Los Angeles,68,1
1010941533813299292,New York,111,1
1010952155355357692,Los Angeles,14705,65
10109531,Los Angeles,10413,34
1010957672185128501,Los Angeles,722,2
1010993810684512672,Hawaii,919,6
1011004317150775336,Hawaii,76,1
1011016489573588395,Hawaii,18366,65
1011019116037360710,Hawaii,1002,3
1011024334882659006,Nashville,8895,34
1011037244975020684,Hawaii,19076,70
1011038359718459249,Los Angeles,17354,72
1011052043416988408,Hawaii,32,1
1011053834514908987,Hawaii,1019,3
1011056824991588891,Los Angeles,10487,47
1011063847986399656,Los Angeles,156,1
1011066412021204995,Los Angeles,491,1
1011077717534290542,Nashville,19578,83
1011137150588045613,Hawaii,2320,5
1011169777765434867,Hawaii,17001,62
1011187858986701691,New York,93,1
1011205237072667883,New York,195,1
1011284752578804773,Los Angeles,14335,51
1011321438432483322,New York,1555,2
1011355228798158366,New York,670,3
1011380639640712555,New York,156,1
1011479899961695926,New York,202,1
1011481145576039394,New York,341,1
1011503182332783001,New York,1349,7
