City,year_month,year,month,days_in_month,rows,available_count,available_share,demand_proxy,median_listing_price,revenue_per_listing,is_complete_month
New York,2025-11,2025,11,30,1083330,457636,0.42243453056778635,0.5775654694322137,154.0,2668.3524687768268,True
New York,2025-12,2025,12,31,1119441,522215,0.4664962244548842,0.5335037755451157,154.0,2546.9470244523823,True
New York,2026-01,2026,1,31,1119441,570961,0.5100411723351208,0.4899588276648792,154.0,2339.063443272133,True
New York,2026-02,2026,2,28,1011108,522600,0.5168587331917065,0.4831412668082935,154.0,2083.3051424773616,True
New York,2026-03,2026,3,31,1119441,575473,0.5140717554565181,0.48592824454348194,154.0,2319.8214394505826,True
New York,2026-04,2026,4,30,1083330,504105,0.4653291240896126,0.5346708759103874,154.0,2470.17944670599,True
New York,2026-05,2026,5,31,1119441,525015,0.46899747284582216,0.5310025271541778,154.0,2535.006064634045,True
New York,2026-06,2026,6,30,1083330,503605,0.46486758420795143,0.5351324157920485,154.0,2472.311760959264,True
New York,2026-07,2026,7,31,1119441,449843,0.4018460999731116,0.5981539000268884,154.0,2855.586718728365,True
New York,2026-08,2026,8,31,1119441,458408,0.4094972401403915,0.5905027598596084,154.0,2819.0601755697708,True
New York,2026-09,2026,9,30,1083330,441516,0.4075544847830301,0.5924455152169699,154.0,2737.098280302401,True
New York,2026-10,2026,10,31,33476,11605,0.34666626837137055,0.6533337316286294,154.0,3119.015234795077,False
San Francisco,2025-09,2025,9,30,233400,79416,0.34025706940874034,0.6597429305912597,170.0,3364.6889460154243,True
San Francisco,2025-10,2025,10,31,241180,113094,0.4689194792271333,0.5310805207728667,170.0,2798.7943444730076,True
San Francisco,2025-11,2025,11,30,233400,133747,0.5730377035132819,0.42696229648671813,170.0,2177.507712082262,True
San Francisco,2025-12,2025,12,31,241180,140437,0.5822912347624181,0.41770876523758194,170.0,2201.325192802057,True
San Francisco,2026-01,2026,1,31,241180,146394,0.6069906294054234,0.39300937059457663,170.0,2071.1593830334186,True
San Francisco,2026-02,2026,2,28,217840,135902,0.6238615497612927,0.3761384502387073,170.0,1790.4190231362468,True
San Francisco,2026-03,2026,3,31,241180,136551,0.5661787876274982,0.4338212123725018,170.0,2286.2377892030845,True
San Francisco,2026-04,2026,4,30,233400,134210,0.5750214224507284,0.4249785775492716,170.0,2167.390745501285,True
San Francisco,2026-05,2026,5,31,241180,136041,0.5640641844265694,0.43593581557343064,170.0,2297.3817480719795,True
San Francisco,2026-06,2026,6,30,233400,106074,0.45447300771208227,0.5455269922879178,170.0,2782.187660668381,True
San Francisco,2026-07,2026,7,31,241180,108884,0.4514636371175056,0.5485363628824944,170.0,2890.7866323907456,True
San Francisco,2026-08,2026,8,31,241180,106220,0.4404179451032424,0.5595820548967576,170.0,2948.9974293059126,True
